Функционал
Название | Стоимость, узлы (лёг/сред/тяж) | Описание | Редкость | Начальная стоимость
Мастерская | 2 | Небольшая мастерская для ремонта узлов и агрегатов судна, оснащена необходимыми инструментами, станками и запчастями помогающими при ремонте (+30 к тестам ремонта) или создании новых предметов до размера 1 включительно (+20 к тесту) | 2 | 5 000
Малый фабрикатор | 2 | Компактная и лёгкая версия стандартного фабрикатора  для производства относительно небольших деталей. Может производить один предмет размера до 0 включительно. | 3 | 40 000
Фабрикатор | -/20/60 | Помещение в котором установлен промышленный 3Д принтер производящий узлы, агрегаты, запасные части, элементы конструкции для производства техники, снаряжения и ремонта судна. Производит предметы при наличии ресурсных катриджей и схем производства (СП). Имеет 1 и 3  линий производства соответственно классу техники. Размер производимых предметов зависит от класса техники: Средняя размер 2 вкл, Тяжёлая 3-4 размер. | 4 | 50 000
Фабрикатор роботов | -/5/10 | Комплекс из 3д принтера и сборочного дока для производства роботов по загруженным схемам. Может производить роботов размером от 1 до -2. Запас принт-пыли 500 кг. | 4 | 50 000
МИЭМ-кузница | -/20/60 | Помещение в котором размещена МИЭМ-кузница - чудо технологий Единства. Материально инфармационно-энергетическая матричная кузница использует энергию и ресурсо-плазму для производства предметов, роботов и техники. Требуется масса ресурсо-плазмы равной массе предмета и МИЭМ-схема предмета. Изменения в схему невозможно произвести без ИскИна Единства или равного ему по мощности.  Имеет 1 и 3  линий производства соответственно классу техники. Размер производимых предметов зависит от класса техники: Средняя размер 2 вкл, Тяжёлая 3-4 размер | 5 | 1 500 000
Плазмозаборник | 10/20/50 | Устройство забора звездной плазмы, используется для попалнения запасов топливной плазмы. Пополнение запасов на высокой орбите звезды занимает 1 час, в случае успеха в тесте Управления -10. В случае провала судно теряет управлеие на 1к5 раундов, и если управление не вернуть судно погибает в пламени звезды. Заправка во внутреней зоне системы занимает 12/24/48/72 часов (в зависимости от класса судна, начиная с лёгкого) и требует +10 теста управления, провал не несет последствий. | 3 | 50 000
Генератор ресурсо-плазмы | 10/20/50 | Устройство создает ресурсо-плазму, которая применяется для МИЭМ-кузниц. Для производства терубуется материя (подойдет любая) и достаточное количество энергии. Генератор производит 1 кг плазмы за 1 час работы (от бортового питания) или от плазмо-заборника 2 часа. | 4 | 100 000
Улучшения систем
Маневровые двигатели | 1/2/3 | Дополнительная система маневрирования улучшает подвижность машины. +5 к Маневренности за одно улучшение, не более +30. | 2 | 6 000
Баки запаса расходников | 1/2/4 | Дополнительные хранилиза топлива, воздуха, провизии и иных расходных материалов для экипажа и судна. Увеличивает автономность на 20% от изначальной за число модулей равных модификатору стоимости узлов класса | 0 | 1 000
Улушение сенсорной матрицы | 1/2/3 | Специальная аппаратура для улучшения обработки сенсорных сигналов, улучшает обнаружение техники на +5 за модуль, дальность на 10 км (в атмосфере, 5 с в космосе) за модуль. Суммируется до +30. | 1 | 26 000
Улучшение бортового компьютера | 1/2/3 | Дополнительные вычислители и обновление ПО помогает бортовым автоматическим системам работать более эффективно. Увеличивает рейтинг черты АМ или АВ на 5 за улучшение. | 2 | 50 000
Резервные батареи | 1/2/5 | Резервные батареи с высокой степенью защиты от поврежедний позволяют сохратить в рабочем состоянии СЖО при отказе питания техники, один комлект обеспечивает 6 часов работы СЖО. | 1 | 5 000
Форсажные камеры | 1/2/5 | Особые системы временно увеличивают скорость техники, за счет повышенного расхода топлива и энергии. Наделяет машину чертой "Форсаж". Применять форсаж можно в течении часа. Снижая автономность (по топливу) на 1 сутки. | 2 | 5 000
